target_smiles,target_mapped_smiles,ref_smiles,ref_mapped_smiles,target_diff,ref_diff,disconnect_list,connect_dict,target_label,ref_label,property_name
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,[Cl:0][c:1]1[cH:2][cH:3][c:4]([CH2:5][O:6][CH:7]([CH2:8][n:9]2[cH:10][cH:11][n:12][cH:13]2)[c:14]2[cH:15][cH:16][c:17]([Cl:18])[cH:19][c:20]2[Cl:21])[c:22]([Cl:23])[cH:24]1,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,[Cl:0][c:1]1[cH:2][cH:3][c:4]([CH2:5][O:6][CH:7]([CH2:8][n:9]2[cH:10][cH:11][n:12][cH:13]2)[c:14]2[cH:15][cH:16][c:17]([Cl:18])[cH:19][c:20]2[Cl:21])[cH:22][cH:23]1,"([('Arylchloride', 1, [(23,)])], [])","([], [])","[('Arylchloride', [(23,)])]","defaultdict(<class 'list'>, {})",1.0,1.0,drugs approved by the FDA and passed clinical trials
O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CC[NH+]3CC2CC2)[C@H]1O5,[O:0]=[C:1]1[CH2:2][CH2:3][C@@:4]2([OH:5])[C@H:6]3[CH2:7][c:8]4[cH:9][cH:10][c:11]([OH:12])[c:13]5[c:14]4[C@@:15]2([CH2:16][CH2:17][NH+:18]3[CH2:19][CH:20]2[CH2:21][CH2:22]2)[C@H:23]1[O:24]5,C[NH+]1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,[CH3:0][NH+:1]1[CH2:2][CH2:3][C@:4]23[c:5]4[c:6]5[cH:7][cH:8][c:9]([OH:10])[c:11]4[O:12][C@H:13]2[C:14](=[O:15])[CH2:16][CH2:17][C@@:18]3([OH:19])[C@H:20]1[CH2:21]5,"([], [('C3 alkane', 1, [(20, 21, 22)])])","([], [])","[('C3 alkane', [(20, 21, 22)])]","defaultdict(<class 'list'>, {})",1.0,1.0,drugs approved by the FDA and passed clinical trials
O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CC[NH+]3CC2CC2)[C@H]1O5,[O:0]=[C:1]1[CH2:2][CH2:3][C@@:4]2([OH:5])[C@H:6]3[CH2:7][c:8]4[cH:9][cH:10][c:11]([OH:12])[c:13]5[c:14]4[C@@:15]2([CH2:16][CH2:17][NH+:18]3[CH2:19][CH:20]2[CH2:21][CH2:22]2)[C@H:23]1[O:24]5,C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CC[NH+]3CC2CC2)[C@H]1O5,[CH2:0]=[C:1]1[CH2:2][CH2:3][C@@:4]2([OH:5])[C@H:6]3[CH2:7][c:8]4[cH:9][cH:10][c:11]([OH:12])[c:13]5[c:14]4[C@@:15]2([CH2:16][CH2:17][NH+:18]3[CH2:19][CH:20]2[CH2:21][CH2:22]2)[C@H:23]1[O:24]5,"([('Ketone', 1, [(1, 0)])], [])","([('Alkene', 1, [(0, 1)])], [])","[('Ketone', [(1, 0)])]","defaultdict(<class 'list'>, {'Alkene ([CH2:0]=[C:1])': [(1, 2, 'target molecule'), (1, 23, 'target molecule')]})",1.0,1.0,drugs approved by the FDA and passed clinical trials
O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CC[NH+]3CC2CC2)[C@H]1O5,[O:0]=[C:1]1[CH2:2][CH2:3][C@@:4]2([OH:5])[C@H:6]3[CH2:7][c:8]4[cH:9][cH:10][c:11]([OH:12])[c:13]5[c:14]4[C@@:15]2([CH2:16][CH2:17][NH+:18]3[CH2:19][CH:20]2[CH2:21][CH2:22]2)[C@H:23]1[O:24]5,C=CC[NH+]1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,[CH2:0]=[CH:1][CH2:2][NH+:3]1[CH2:4][CH2:5][C@:6]23[c:7]4[c:8]5[cH:9][cH:10][c:11]([OH:12])[c:13]4[O:14][C@H:15]2[C:16](=[O:17])[CH2:18][CH2:19][C@@:20]3([OH:21])[C@H:22]1[CH2:23]5,"([], [('C3 alkane', 1, [(20, 21, 22)])])","([('Alkene', 1, [(0, 1)])], [])","[('C3 alkane', [(20, 21, 22)])]","defaultdict(<class 'list'>, {'Alkene ([CH2:0]=[CH:1])': [(1, 19, 'target molecule')]})",1.0,1.0,drugs approved by the FDA and passed clinical trials
Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,[NH2:0][c:1]1[cH:2][cH:3][cH:4][c:5]2[c:6]1[C:7](=[O:8])[N:9]([CH:10]1[CH2:11][CH2:12][C:13](=[O:14])[NH:15][C:16]1=[O:17])[C:18]2=[O:19],O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,[O:0]=[C:1]1[CH2:2][CH2:3][CH:4]([N:5]2[C:6](=[O:7])[c:8]3[cH:9][cH:10][cH:11][cH:12][c:13]3[C:14]2=[O:15])[C:16](=[O:17])[NH:18]1,"([('Amine', 1, [(0,)])], [])","([], [])","[('Amine', [(0,)])]","defaultdict(<class 'list'>, {})",0.0,0.0,drugs approved by the FDA and passed clinical trials
Oc1c(Cl)cc(Cl)c2cccnc12,[OH:0][c:1]1[c:2]([Cl:3])[cH:4][c:5]([Cl:6])[c:7]2[cH:8][cH:9][cH:10][n:11][c:12]12,Oc1c(I)cc(Cl)c2cccnc12,[OH:0][c:1]1[c:2]([I:3])[cH:4][c:5]([Cl:6])[c:7]2[cH:8][cH:9][cH:10][n:11][c:12]12,"([('Arylchloride', 1, [(3,)])], [])","([('Aryliodide', 1, [(3,)])], [])","[('Arylchloride', [(3,)])]","defaultdict(<class 'list'>, {'Aryliodide ([I:3])': [(3, 2, 'target molecule')]})",1.0,1.0,drugs approved by the FDA and passed clinical trials
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,[O:0]=[C:1]1[NH:2][c:3]2[cH:4][cH:5][c:6]([Cl:7])[cH:8][c:9]2[C:10]([c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[Cl:17])=[N:18][CH:19]1[OH:20],O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,[O:0]=[C:1]1[NH:2][c:3]2[cH:4][cH:5][c:6]([Cl:7])[cH:8][c:9]2[C:10]([c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)=[N:17][CH:18]1[OH:19],"([('Arylchloride', 1, [(17,)])], [])","([], [])","[('Arylchloride', [(17,)])]","defaultdict(<class 'list'>, {})",1.0,1.0,drugs approved by the FDA and passed clinical trials
O=C([O-])C1=C(CSc2nnnn2CS(=O)(=O)[O-])CS[C@@H]2[C@H](NC(=O)[C@H](O)c3ccccc3)C(=O)N12,[O:0]=[C:1]([O-:2])[C:3]1=[C:4]([CH2:5][S:6][c:7]2[n:8][n:9][n:10][n:11]2[CH2:12][S:13](=[O:14])(=[O:15])[O-:16])[CH2:17][S:18][C@@H:19]2[C@H:20]([NH:21][C:22](=[O:23])[C@H:24]([OH:25])[c:26]3[cH:27][cH:28][cH:29][cH:30][cH:31]3)[C:32](=[O:33])[N:34]12,Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1,[CH3:0][n:1]1[n:2][n:3][n:4][c:5]1[S:6][CH2:7][C:8]1=[C:9]([C:10](=[O:11])[O-:12])[N:13]2[C:14](=[O:15])[C@@H:16]([NH:17][C:18](=[O:19])[C@H:20]([OH:21])[c:22]3[cH:23][cH:24][cH:25][cH:26][cH:27]3)[C@H:28]2[S:29][CH2:30]1,"([('Sulfonic acid', 1, [(13, 14, 15, 16)])], [])","([], [])","[('Sulfonic acid', [(13, 14, 15, 16)])]","defaultdict(<class 'list'>, {})",1.0,1.0,drugs approved by the FDA and passed clinical trials
O=C([O-])COCC[NH+]1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1,[O:0]=[C:1]([O-:2])[CH2:3][O:4][CH2:5][CH2:6][NH+:7]1[CH2:8][CH2:9][N:10]([C@H:11]([c:12]2[cH:13][cH:14][cH:15][cH:16][cH:17]2)[c:18]2[cH:19][cH:20][c:21]([Cl:22])[cH:23][cH:24]2)[CH2:25][CH2:26]1,OCCOCC[NH+]1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,[OH:0][CH2:1][CH2:2][O:3][CH2:4][CH2:5][NH+:6]1[CH2:7][CH2:8][N:9]([CH:10]([c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[c:17]2[cH:18][cH:19][c:20]([Cl:21])[cH:22][cH:23]2)[CH2:24][CH2:25]1,"([('Carboxylic acid', 1, [(1, 0, 2)])], [])","([('Hydroxy', 1, [(0,)])], [('C1 alkane', 1, [(1,)])])","[('Carboxylic acid', [(1, 0, 2)])]","defaultdict(<class 'list'>, {'C1 alkane ([CH2:1])': [(1, 0, 'Hydroxy ([OH:0])'), (1, 3, 'target molecule')]})",1.0,1.0,drugs approved by the FDA and passed clinical trials
O=C([O-])COCC[NH+]1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,[O:0]=[C:1]([O-:2])[CH2:3][O:4][CH2:5][CH2:6][NH+:7]1[CH2:8][CH2:9][N:10]([CH:11]([c:12]2[cH:13][cH:14][cH:15][cH:16][cH:17]2)[c:18]2[cH:19][cH:20][c:21]([Cl:22])[cH:23][cH:24]2)[CH2:25][CH2:26]1,OCCOCC[NH+]1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,[OH:0][CH2:1][CH2:2][O:3][CH2:4][CH2:5][NH+:6]1[CH2:7][CH2:8][N:9]([CH:10]([c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[c:17]2[cH:18][cH:19][c:20]([Cl:21])[cH:22][cH:23]2)[CH2:24][CH2:25]1,"([('Carboxylic acid', 1, [(1, 0, 2)])], [])","([('Hydroxy', 1, [(0,)])], [('C1 alkane', 1, [(1,)])])","[('Carboxylic acid', [(1, 0, 2)])]","defaultdict(<class 'list'>, {'C1 alkane ([CH2:1])': [(1, 0, 'Hydroxy ([OH:0])'), (1, 3, 'target molecule')]})",1.0,1.0,drugs approved by the FDA and passed clinical trials
OC(CC[NH+]1CCCC1)(c1ccccc1)C1CCCCC1,[OH:0][C:1]([CH2:2][CH2:3][NH+:4]1[CH2:5][CH2:6][CH2:7][CH2:8]1)([c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[CH:15]1[CH2:16][CH2:17][CH2:18][CH2:19][CH2:20]1,OC(CC[NH+]1CCCCC1)(c1ccccc1)C1CCCC1,[OH:0][C:1]([CH2:2][CH2:3][NH+:4]1[CH2:5][CH2:6][CH2:7][CH2:8][CH2:9]1)([c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1)[CH:16]1[CH2:17][CH2:18][CH2:19][CH2:20]1,"([('pyrrolidine', 1, [(6, 7, 8, 4, 5)])], [('C1 alkane', 1, [(16,)])])","([('piperidine', 1, [(7, 6, 5, 4, 9, 8)])], [])","[('pyrrolidine', [(6, 7, 8, 4, 5)]), ('C1 alkane', [(16,)])]","defaultdict(<class 'list'>, {'piperidine ([NH+:4]1[CH2:5][CH2:6][CH2:7][CH2:8][CH2:9]1)': [(4, 3, 'target molecule')]})",1.0,1.0,drugs approved by the FDA and passed clinical trials
OC(CC[NH+]1CCCC1)(c1ccccc1)C1CCCCC1,[OH:0][C:1]([CH2:2][CH2:3][NH+:4]1[CH2:5][CH2:6][CH2:7][CH2:8]1)([c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[CH:15]1[CH2:16][CH2:17][CH2:18][CH2:19][CH2:20]1,OC(CC[NH+]1CCCCC1)(c1ccccc1)C1CCCCC1,[OH:0][C:1]([CH2:2][CH2:3][NH+:4]1[CH2:5][CH2:6][CH2:7][CH2:8][CH2:9]1)([c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1)[CH:16]1[CH2:17][CH2:18][CH2:19][CH2:20][CH2:21]1,"([('pyrrolidine', 1, [(6, 7, 8, 4, 5)])], [])","([('piperidine', 1, [(7, 6, 5, 4, 9, 8)])], [])","[('pyrrolidine', [(6, 7, 8, 4, 5)])]","defaultdict(<class 'list'>, {'piperidine ([NH+:4]1[CH2:5][CH2:6][CH2:7][CH2:8][CH2:9]1)': [(4, 3, 'target molecule')]})",1.0,1.0,drugs approved by the FDA and passed clinical trials
OC(CC[NH+]1CCCCC1)(c1ccccc1)C1CCCC1,[OH:0][C:1]([CH2:2][CH2:3][NH+:4]1[CH2:5][CH2:6][CH2:7][CH2:8][CH2:9]1)([c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1)[CH:16]1[CH2:17][CH2:18][CH2:19][CH2:20]1,OC(CC[NH+]1CCCCC1)(c1ccccc1)C1CCCCC1,[OH:0][C:1]([CH2:2][CH2:3][NH+:4]1[CH2:5][CH2:6][CH2:7][CH2:8][CH2:9]1)([c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1)[CH:16]1[CH2:17][CH2:18][CH2:19][CH2:20][CH2:21]1,"([], [])","([], [('C1 alkane', 1, [(21,)])])",[],"defaultdict(<class 'list'>, {'C1 alkane ([CH2:21])': [(21, 17, 'target molecule'), (21, 16, 'target molecule')]})",1.0,1.0,drugs approved by the FDA and passed clinical trials
