target_smiles,ref_smiles
COC1CC1,CO[C@H]1CC[C@H](OC)C1
OCC1CC1,OCC1CCC1
OCC1CC1,OCC1CCCC1
OCC1CC1,OC[C@H]1CC[C@@H](O)CC1
OCC1CC1,OC[C@@H]1CC[C@H](CO)C1
C1=CCCC1,C1=CCCCC1
C1=CCCC1,C1=C\CCC/C=C/C/1
C1=CCCC1,C1=C\CCC/C=C/CC/1
C1=NCCO1,C1=NCCCO1
C1=NCCO1,C1=N/CCOCCO/1
C1=CCOC1,C1=C\COC/C=C/C/1
C1=CCOC1,C1=C\COC/C=C/CC/1
C1CCCC1,C1CCCCC1
C1CCCC1,C1CCCCCC1
C1CCCC1,C1CCCCCCC1
C1CCCC1,C1CCCCCCCC1
C1CCOC1,C1CCOCC1
C1CCOC1,C1CCCOCC1
C1CCOC1,C1CCCOCCC1
C1CCOC1,C1CCOCCOC1
C1CCOC1,C1COCCCOC1
C1CCOC1,C1CCCCOCCC1
C1CCOC1,C1CCOCCCOC1
C1CCOC1,C1CCOCCOCC1
C1COCO1,C1COCOCCO1
C1C[C@H]2C[C@@H]12,C1C[C@H]2C[C@@H]1[C@H]1C[C@@H]2C1
C1C[C@H]2C[C@@H]12,C1C[C@H]2C[C@@H]3C[C@H]2C[C@H]13
C1C[C@H]2C[C@@H]12,C1C[C@H]2C[C@H]3C[C@H]3C[C@@H]12
C1C[C@H]2C[C@@H]12,C1C[C@H]2C[C@H]2C[C@H]2C[C@@H]12
C1O[C@H]2C[C@@H]12,C1O[C@H]2C[C@@H]1[C@H]1C[C@@H]2O1
C1O[C@H]2C[C@@H]12,C1[C@@H]2C[C@@H]3OC[C@@H]3C[C@H]12
C1O[C@H]2C[C@@H]12,C1O[C@H]2C[C@H]3O[C@H]3C[C@@H]12
C1C[C@H]2O[C@@H]12,C1C[C@H]2O[C@@H]1[C@H]1C[C@@H]2O1
C1C[C@H]2O[C@@H]12,C1C[C@H]2O[C@@H]3C[C@H]2O[C@H]13
C1C[C@H]2O[C@@H]12,C1C[C@H]2O[C@H]3C[C@H]3O[C@@H]12
C1C[C@H]2O[C@@H]12,C1C[C@H]2O[C@H]2C[C@H]2O[C@@H]12
C/C(CO)=N\O,C/C(C/C(C)=N/O)=N\O
ONC1CCC1,ONC1CCCC1
ONC1CCC1,ONC1CCCCC1
ONC1CCC1,ONC1CCCCCC1
ONC1COC1,ONC1COCOC1
ONC1COC1,ONC1COCCOC1
Nc1ccc[nH]1,Nc1ccc[nH]1.O=C=O
[H]/N=C/NC(C)=O,N=N.[H]/N=C/NC(C)=O
CC(=O)NC=O,CC(=O)NC=O.N=N
NC(=O)NC=O,N=N.NC(=O)NC=O
CC1(C)CCC1,CC1(C)CCCC1
CC1(O)CCC1,CC1(O)CCCC1
CC1(O)CCC1,CC1(O)CCCCC1
CC1(O)CCC1,CC1(O)CCCCCC1
CC1(O)COC1,C[C@]1(O)COC[C@@]1(C)O
C[C@H]1CC([NH-])O1,C[C@@H]1O[C@H]([NH-])C[C@H](C)O1
C[C@H]1CC([NH-])O1,C[C@H]1C[C@@H](C)O[C@@H]([NH-])C1
CC1CC(=O)C1,CC1CC(=O)CC(=O)C1
CC1CC(=O)C1,C[C@@H]1CC(=O)C[C@H](C)C1
C[NH+]1CC(=O)C1,C[NH+]1CC(=O)CC(=O)C1
O=C1CC(O)C1,O=C1CC(=O)CC(O)C1
O=C1CC(O)C1,O=C1C[C@@H](O)C[C@@H](O)C1
C[C@H]1C[C@@H](C)C1,C[C@H]1C[C@@H](C)C[C@@H](C)C1
C[C@@H]1C[C@H](C)O1,C[C@@H]1O[C@H](C)C[C@H](C)O1
C[C@H]1C[C@@H](O)C1,C[C@@H]1C[C@H](C)C[C@H](O)C1
C[C@H]1C[C@@H](O)C1,C[C@H]1C[C@@H](O)C[C@@H](O)C1
O[C@H]1C[C@@H](O)C1,O[C@H]1C[C@@H](O)C[C@@H](O)C1
CCC(=O)CO,CCC(=O)CC(=O)CO
O=C(CO)CO,O=C(CO)CC(=O)CO
C[C@H](C=O)CO,CC(C=O)CO.N=N
CC(CO)CO,C[C@@H](CO)C[C@@H](C)CO
CC[C@@H](C)CO,CC[C@@H](C)C[C@@H](C)CO
CC[C@@H](O)CO,CC[C@@H](O)C[C@@H](O)CO
C#CC1(C)CC1,C#CC1(C)CCC1
C#CC1(C)CC1,C#CC1(C)CCCC1
C#CC1(C)CC1,C#CC1(C)CCCCC1
CC1(C#N)CC1,CC1(C#N)CCC1
CC1(C#N)CC1,CC1(C#N)CCCC1
CC1(C#N)CC1,CC1(C#N)CCCCC1
N#CC1(N)CC1,N#CC1(N)CCC1
N#CC1(N)CC1,N#CC1(N)CCCC1
N#CC1(N)CC1,N#CC1(N)CCCCC1
C#CC1(O)CC1,C#CC1(O)CCC1
C#CC1(O)CC1,C#CC1(O)CCCC1
C#CC1(O)CC1,C#CC1(O)CCCCC1
N#CC1(O)CC1,N#CC1(O)CCC1
N#CC1(O)CC1,N#CC1(O)CCCC1
N#CC1(O)CC1,N#CC1(O)CCCCC1
CC1(C=O)CC1,CC1(C=O)CCC1
CC1(C=O)CC1,CC1(C=O)CCCC1
O=CC1(O)CC1,O=CC1(O)CCC1
O=CC1(O)CC1,O=CC1(O)CCCC1
CC1(CO)CC1,CC1(CO)CCC1
CC1(CO)CC1,CC1(CO)CCCC1
CC1(CO)CC1,CC1(CO)CCCCC1
CCC1(C)CC1,CCC1(C)CCC1
CCC1(C)CC1,CCC1(C)CCCC1
CCC1(O)CC1,CCC1(O)CCC1
CCC1(O)CC1,CCC1(O)CCCC1
CCC1(O)CC1,CCC1(O)CCCCC1
COC1(C)CC1,COC1(C)CCC1
COC1(C)CC1,COC1(C)CCCC1
OCC1(O)CC1,OCC1(O)CCC1
OCC1(O)CC1,OCC1(O)CCCC1
C[C@H]1COC1[NH-],C[C@@H]1C([NH-])OC[C@@H]1C
[NH-]C1OC[C@@H]1O,[NH-]C1OC[C@H](O)[C@@H]1O
C[C@H]1OC[C@H]1O,C[C@@H]1[C@H](O)CO[C@@H]1C
C[C@H]1OC[C@H]1O,C[C@H]1OC[C@@H](O)[C@H]1O
O=C1CC=CC1,O=C1CC=CC=CC1
O=C1CC=CC1,O=C1CC=CCC(=O)C1
O=C1CC=CC1,O=C1C/C=C\C/C=C/C1
O=C1CC=CN1,O=C1C/C=C\C/C=C/N1
O=C1C=CCN1,O=C1/C=C/C/C=C\CN1
[NH-]C1CCCO1,[NH-][C@H]1CCCCO1
[NH-]C1CCCO1,[NH-][C@@H]1CCCCCO1
[NH-]C1CCCO1,[NH-]C1CCCCCCO1
[NH-]C1COCO1,[NH-][C@@H]1COCCOCO1
[NH-]C1OCCO1,[NH-]C1OCCCO1
[NH-]C1OCCO1,[NH-]C1OCCCCO1
[NH-]C1OCCO1,[NH-]C1OCCOCCO1
O=C1CCCC1,O=C1CCCCC1
O=C1CCCC1,O=C1CCCCCC1
O=C1CCCC1,O=C1CCCC(=O)CC1
O=C1CCCC1,O=C1CCCCCCC1
O=C1CCCN1,O=C1CCCCN1
O=C1CCCN1,O=C1CCCCCN1
O=C1CCCN1,O=C1CCCCCCN1
O=C1CCCO1,O=C1CCCCO1
O=C1CCCO1,O=C1CCCCCO1
O=C1CCCO1,O=C1CCCCCCO1
O=C1CCOC1,O=C1CCOCOC1
O=C1CCOC1,O=C1CCOCCOC1
O=C1COCO1,O=C1COCCOCO1
O=C1NCCN1,O=C1NCCCN1
O=C1NCCN1,O=C1NCCCCN1
O=C1NCCN1,O=C1NCCNC(=O)N1
O=C1NCCO1,O=C1NCCOCCO1
O=C1OCCO1,O=C1OCCCO1
O=C1OCCO1,O=C1OCCCCO1
O=C1OCCO1,O=C1OCCOCCO1
CC1=CCCC1,CC1=CCCCC1
CC1=CCCC1,CC1=CCCCCC1
CC1=CCCC1,C/C1=C\CCCCCC1
CC1=CCOC1,CC1=CCOCOC1
CC1=CCOC1,C/C1=C\COCCOC1
CC1=NCCO1,C/C1=N/CCOCCO1
CC1CC=CC1,CC1CC=CC=CC1
CC1CC=CC1,C[C@@H]1CC=CC[C@H](C)C1
CC1CC=CC1,CC1C/C=C\C/C=C/C1
OC1CC=CC1,OC1CC=CC=CC1
OC1CC=CC1,O[C@@H]1CC=CC[C@H](O)C1
OC1CC=CC1,OC1C/C=C\C/C=C\C1
C[C@@H]1C=CCC1,C[C@@H]1/C=C\C/C=C/CC1
C[C@@H]1C=CCO1,C[C@@H]1/C=C\C/C=C/CO1
CC1CCCC1,CC1CCCCC1
CC1CCCC1,CC1CCCCCC1
CC1CCCC1,C[C@@H]1CCC[C@H](C)CC1
CC1CCCC1,CC1CCCCCCC1
C[C@H]1CCCO1,C[C@H]1CCCCO1
C[C@H]1CCCO1,C[C@H]1CCCCCO1
C[C@H]1CCCO1,C[C@H]1CCCCCCO1
C[C@H]1CCOC1,C[C@H]1CCOCOC1
C[C@H]1CCOC1,C[C@@H]1COCC[C@H](C)C1
C[C@H]1CCOC1,C[C@H]1CCOCCOC1
C[C@H]1COCO1,C[C@H]1COCCOCO1
CC1OCCO1,CC1OCCCO1
CC1OCCO1,CC1OCCCCO1
CC1OCCO1,CC1OCCOCCO1
OC1CCCC1,OC1CCCCC1
OC1CCCC1,OC1CCCCCC1
OC1CCCC1,O[C@@H]1CCC[C@H](O)CC1
OC1CCCC1,OC1CCCCCCC1
O[C@H]1CCOC1,O[C@H]1CCOCOC1
O[C@H]1CCOC1,O[C@@H]1COCC[C@H](O)C1
O[C@H]1CCOC1,O[C@H]1CCOCCOC1
C[C@H]1[C@@H](C)[C@H]1C,C[C@H]1[C@@H](C)[C@@H](C)[C@H]1C
C[C@@H]1[C@H](C)[C@@H]1O,C[C@H]1[C@@H](O)[C@H]1O
C[C@@H]1[C@H](C)[C@@H]1O,C[C@H]1[C@@H](C)[C@@H](O)[C@H]1C
C[C@@H]1[C@H](C)[C@@H]1O,C[C@H]1[C@@H](O)[C@@H](C)[C@H]1O
C[C@H]1[C@@H](O)[C@H]1O,C[C@@H]1[C@H](C)[C@H](O)[C@@H]1O
C[C@H]1[C@@H](O)[C@H]1O,C[C@H]1[C@@H](O)[C@@H](O)[C@H]1O
O[C@H]1[C@@H](O)[C@H]1O,O[C@H]1[C@@H](O)[C@@H](O)[C@H]1O
C[C@@]12CC[C@@H]1C2,C[C@]12CC[C@H]1CC2
O[C@@]12CC[C@@H]1C2,O[C@]12CC[C@H]1CC2
C#CC#CC#C,C#CC#CC#CC#C
C#CC#CC#N,C#CC#CC#CC#N
N#CC#CC#N,N#CC#CC#CC#N
C#CC#CC=O,C#CC#CC#CC=O
N#CC#CC=O,N#CC#CC#CC=O
CC#CC#CC,CC#CC#CC#CC
C#CCC#CC,C#CCC#CCC#CC
CC#CCC#N,CC#CCC#CCC#N
CC#CCC=O,CC#CCC#CCC=O
C/N=C/NC=O,CN=CNC=O.N=N
C#CC#CCC,C#CC#CC#CCC
CCC#CC#N,CCC#CC#CC#N
C#CC#CCO,C#CC#CC#CCO
N#CC#CCO,N#CC#CC#CCO
CCC#CC=O,CCC#CCC#CC=O
O=CC#CCO,O=CC#CCC#CCO
CCC#CCC,CCC#CCC#CCC
CCC#CCO,CCC#CCC#CCO
OCC#CCO,OCC#CCC#CCO
CC#CCCO,CC#CCCCO
C#CCCCC,C#CCCCCC
C#CCCCC,C#CCCCCCC
C#CCCCC,C#CCCCCCCC
CCCCC#N,CCCCCC#N
CCCCC#N,CCCCCCC#N
CCCCC#N,CCCCCCCC#N
C#CCOCC,C#CCOCCOCC
CCOCC#N,CCOCCOCC#N
C#CCCCO,C#CCCCCO
C#CCCCO,C#CCCCCCO
C#CCCCO,C#CCCCCCCO
N#CCCCO,N#CCCCCO
N#CCCCO,N#CCCCCCO
N#CCCCO,N#CCCCCCCO
CCCCC=O,CCCCCC=O
CCCCC=O,CCCCCCC=O
CCCCC=O,CCCCCCCC=O
CCCOC=O,CCCCOC=O
CCOCC=O,CCOCCOCC=O
O=CCCCO,O=CCCCCO
O=CCCCO,O=CCCCCCO
O=CCCCO,O=CCCCCCCO
CCCCCC,CCCCCCC
CCCCCC,CCCCCCCC
CCCCCC,CCCCCCCCC
CCCCCO,CCCCCCO
CCCCCO,CCCCCCCO
CCCCCO,CCCCCCCCO
CCCCOC,CCCCCOC
CCCCOC,CCCCCCOC
CCCCOC,CCCCCCCOC
CCCOCC,CCCOCCOCC
CCOCCO,CCOCCOCCO
COCCCO,COCCCCO
COCCCO,COCCCCCO
COCCCO,COCCCCCCO
COCCOC,COCCOCCOC
OCCCCO,OCCCCCO
OCCCCO,OCCCCCCO
OCCCCO,OCCCCCCCO
C#CC1CCC1,C#CC1CCCC1
C#CC1CCC1,C#CC1CCCCC1
C#CC1CCC1,C#CC1CCCCCC1
C#C[C@H]1CCO1,C#C[C@H]1CCCO1
C#C[C@H]1CCO1,C#C[C@H]1CCCCO1
C#CC1COC1,C#CC1COCOC1
C#CC1COC1,C#CC1COCCOC1
N#CC1CCC1,N#CC1CCCC1
N#CC1CCC1,N#CC1CCCCC1
N#CC1CCC1,N#CC1CCCCCC1
N#C[C@H]1CCN1,N#C[C@H]1CCCN1
N#C[C@H]1CCO1,N#C[C@H]1CCCO1
N#C[C@H]1CCO1,N#C[C@H]1CCCCO1
N#CC1COC1,N#CC1COCOC1
N#CC1COC1,N#CC1COCCOC1
O=CC1CCC1,O=CC1CCCC1
O=CC1CCC1,O=CC1CCCCC1
O=CC1CCC1,O=CC1CCCCCC1
O=C[C@H]1CCO1,O=C[C@H]1CCCO1
O=CC1COC1,O=CC1COCOC1
O=CC1COC1,O=CC1COCCOC1
O=CN1CCC1,O=CN1CCCC1
O=CN1CCC1,O=CN1CCCCC1
O=CN1CCC1,O=CN1CCCCCC1
C[NH2+]C1CCO1,C[NH2+]C1CCCO1
CCC1CCC1,CCC1CCCC1
CCC1CCC1,CCC1CCCCC1
CCC1CCC1,CCC1CCCCCC1
CC[C@H]1CCO1,CC[C@H]1CCCO1
CCC1COC1,CCC1COCOC1
CCC1COC1,CCC1COCCOC1
COC1CCC1,COC1CCCC1
COC1CCC1,COC1CCCCC1
COC1CCC1,COC1CCCCCC1
COC1COC1,COC1COCOC1
COC1COC1,COC1COCCOC1
OCC1CCC1,OCC1CCCC1
OCC1CCC1,OCC1CCCCC1
OCC1CCC1,OCC1CCCCCC1
OC[C@H]1CCO1,OC[C@H]1CCCO1
OCC1COC1,OCC1COCOC1
OCC1COC1,OCC1COCCOC1
C#CCC1CC1,C#CCC1CCC1
C#CCC1CC1,C#CCC1CCCC1
C#CCC1CC1,C#CCC1CCCCC1
C#CC[C@H]1CO1,C#CC[C@H]1COCO1
N#CCC1CC1,N#CCC1CCC1
N#CCC1CC1,N#CCC1CCCC1
N#CCC1CC1,N#CCC1CCCCC1
N#CC[C@H]1CO1,N#CC[C@H]1COCO1
N#CC[NH+]1CC1,N#CC[NH+]1CCC1
N#CC[NH+]1CC1,N#CC[NH+]1CCCC1
N#CC[NH+]1CC1,N#CC[NH+]1CCCCC1
O=CCC1CC1,O=CCC1CCC1
O=CCC1CC1,O=CCC1CCCC1
O=CCC1CC1,O=CCC1CCCCC1
O=CC[C@H]1CO1,O=CC[C@H]1COCO1
O=CC[NH+]1CC1,O=CC[NH+]1CCC1
O=CNC1CC1,O=CNC1CCC1
O=CNC1CC1,O=CNC1CCCC1
O=CNC1CC1,O=CNC1CCCCC1
O=COC1CC1,O=COC1CCC1
O=COC1CC1,O=COC1CCCC1
O=COC1CC1,O=COC1CCCCC1
CC#CC1CC1,CC#CC1CCC1
CC#CC1CC1,CC#CC1CCCC1
CC#CC1CC1,CC#CC1CCCCC1
CCCC1CC1,CCCC1CCC1
CCCC1CC1,CCCC1CCCC1
CCCC1CC1,CCCC1CCCCC1
CCOC1CC1,CCOC1CCC1
CCOC1CC1,CCOC1CCCC1
CCOC1CC1,CCOC1CCCCC1
CCOC1CC1,CCOC1CCOCC1
COCC1CC1,COCC1CCC1
COCC1CC1,COCC1CCCC1
COCC1CC1,COCC1CCCCC1
COC[C@H]1CO1,COC[C@H]1COCO1
OCCC1CC1,OCCC1CCC1
OCCC1CC1,OCCC1CCCC1
OCCC1CC1,OCCC1CCCCC1
C#C[C@@H]1C[C@@H]1C,C#C[C@@H]1C[C@H](C)[C@@H]1C
C[C@H]1C[C@H]1C#N,C[C@@H]1[C@H](C#N)C[C@@H]1C
C[C@H]1N[C@H]1C#N,C[C@@H]1[C@H](C#N)N[C@@H]1C
C#C[C@@H]1O[C@@H]1C,C#C[C@@H]1O[C@H](C)[C@@H]1C
C[C@H]1O[C@H]1C#N,C[C@@H]1[C@H](C#N)O[C@@H]1C
C#C[C@@H]1C[C@@H]1O,C#C[C@@H]1C[C@H](O)[C@@H]1O
C#C[C@@H]1C[C@@H]1O,C#C[C@@H]1C[C@@H](O)C[C@H]1O
N#C[C@@H]1C[C@@H]1O,N#C[C@@H]1C[C@H](O)[C@@H]1O
N#C[C@@H]1C[C@@H]1O,N#C[C@@H]1C[C@@H](O)C[C@H]1O
C[C@H]1C[C@H]1C=O,C[C@@H]1[C@H](C=O)C[C@@H]1C
C[C@H]1O[C@H]1C=O,C[C@H]1O[C@@H](C)[C@H](C=O)O1
O=C[C@@H]1C[C@@H]1O,O=C[C@@H]1C[C@@H](O)C[C@H]1O
C[C@H]1C[C@H]1CO,C[C@@H]1[C@H](CO)C[C@@H]1C
C[C@H]1C[C@H]1CO,C[C@@H]1C[C@H](CO)[C@H](C)C1
C[C@H]1C[C@H]1CO,C[C@H]1C[C@@H](O)C[C@H]1CO
C[C@H]1C[C@H]1CO,C[C@@H]1[C@H](CO)C[C@@H]1CO
C[C@H]1C[C@H]1CO,C[C@H]1C[C@H]1[C@H]1C[C@H]1CO
C[C@H]1O[C@H]1CO,C[C@@H]1[C@H](CO)O[C@@H]1C
C[C@H]1O[C@H]1CO,C[C@H]1O[C@@H](CO)[C@H]1O
CC[C@H]1C[C@H]1C,CC[C@H]1C[C@@H](C)C[C@H]1C
CC[C@H]1C[C@H]1O,CC[C@H]1C[C@@H](C)C[C@H]1O
CC[C@H]1C[C@H]1O,CC[C@H]1C[C@@H](O)C[C@H]1O
CC[C@H]1O[C@H]1C,CC[C@H]1O[C@@H](C)[C@H]1C
CO[C@H]1C[C@H]1C,CO[C@H]1C[C@@H](C)C[C@H]1C
CO[C@H]1C[C@H]1O,CO[C@H]1C[C@@H](C)C[C@H]1O
CO[C@H]1C[C@H]1O,CO[C@H]1C[C@@H](O)C[C@H]1O
OC[C@H]1C[C@H]1O,OC[C@H]1C[C@@H](O)C[C@H]1O
CC(=O)C1CC1,CC(=O)C1CCC1
CC(=O)C1CC1,CC(=O)C1CCCC1
CC(=O)C1CC1,CC(=O)C1CCCCC1
CC(=O)N1CC1,CC(=O)N1CCC1
CC(=O)N1CC1,CC(=O)N1CCCC1
NC(=O)C1CC1,NC(=O)C1CCC1
NC(=O)C1CC1,NC(=O)C1CCCC1
NC(=O)C1CC1,NC(=O)C1CCCCC1
NC(=O)N1CC1,NC(=O)N1CCC1
NC(=O)N1CC1,NC(=O)N1CCCC1
NC(=O)N1CC1,NC(=O)N1CCCCC1
NC(=O)N1CC1,NC(=O)N1CCOCC1
C[C@@H](O)C1CC1,C[C@@H](O)C1CCC1
C[C@@H](O)C1CC1,C[C@@H](O)C1CCCC1
C[C@@H](O)C1CC1,OC(C1CC1)C1CC1
C[C@@H](O)C1CC1,C[C@@H](O)C1CCCCC1
C1CC2(C1)CC2,C1CC2(C1)CCC2
C1CC2(C1)CC2,C1CCC2(C1)CC2
C1CC2(C1)CC2,C1CCC2(C1)CCC2
C1CC2(C1)CC2,C1CCC2(CC1)CC2
C1CC2(C1)CC2,C1CC2(C1)CC1(CC1)C2
C1CC2(C1)CC2,C1CCCC2(CC1)CC2
C1CC2(C1)CC2,C1CCC2(CC1)CCC2
C1CC2(CC2)O1,C1CC2(C1)CCO2
C1CC2(CC2)O1,C1CCC2(C1)CCO2
C1CC12COC2,C1CC2(C1)COC2
C1CC12COC2,C1CCC2(C1)COC2
C1CC12COC2,C1OCC2(CC2)CO1
C1CC12COC2,C1COCC2(CC2)CO1
C1NC12COC2,C1OCC2(CN2)CO1
C1NC12COC2,C1COCC2(CN2)CO1
C1CC2(C1)CO2,C1CCC2(C1)CO2
C1CC2(C1)CO2,C1CCC2(CC1)CO2
C1CC2(C1)CO2,C1CCCC2(CC1)CO2
C1OCC12CO2,C1OCC2(CO1)CO2
C1OCC12CO2,C1COCC2(CO1)CO2
C1=C[C@H]2C[C@@H]1O2,C1=C[C@@H]2C[C@H](C=C1)O2
C1C[C@H]2C[C@@H]1C2,C1C[C@H]2CC[C@@H]1C2
C1C[C@H]2C[C@@H]1O2,C1C[C@H]2CC[C@@H]1O2
C[C@H]1[C@H]2C[C@@H]1C2,C[C@H]1[C@@H]2CC[C@H]1C2
C[C@H]1[C@H]2C[C@@H]1C2,C[C@@H]1[C@H]2C[C@H](C2)[C@@H]1C
O[C@H]1[C@H]2C[C@@H]1C2,O[C@@H]1[C@H]2C[C@H](C2)[C@@H]1O
C1=CCOCC1,C1=C/COCOCC/1
C1=CCOCC1,C1=C\CCOC/C=C/C/1
C1=CCOCC1,C1=C/COCCOCC/1
C1=CCCCC1,C1=CCCCCC1
C1=CCCCC1,C1=C/CCCCCC/1
C1=CCCCC1,C1=C\CCCC/C=C/C/1
C1=CCCCC1,C1=C/CCCCCCC/1
C1=NCCCO1,C1=NCCCCO1
C1=NCCCO1,C1=N/CCCCCO/1
C1=NCCCO1,C1=N/CCCCCCO/1
C1=NCCCO1,C1=N/CCCOCCO/1
C1CCCCC1,C1CCCCCC1
C1CCCCC1,C1CCCCCCC1
C1CCCCC1,C1CCCCCCCC1
C1CCOCC1,C1CCCOCC1
C1CCOCC1,C1CCCOCCC1
C1CCOCC1,C1CCOCCOC1
C1CCOCC1,C1CCCCOCCC1
C1CCOCC1,C1CCOCCCOC1
C1CCOCC1,C1CCOCCOCC1
C1COCCO1,C1COCCOCCO1
C1COCOC1,C1CCOCOC1
C1COCOC1,C1CCOCOCC1
C1COCOC1,C1CCCOCOCC1
C1COCOC1,C1COCCOCOC1
C1C[C@H]2CC[C@@H]12,C1CC1C1CC1
C1O[C@H]2CO[C@@H]12,C1O[C@H]1[C@H]1CO1
C[C@H]1[C@H]2CC[C@@H]12,C[C@@H]1[C@H](C)[C@@H]2CC[C@H]12
C[C@H]1[C@H]2CC[C@@H]12,C[C@H]1[C@@H]2CC[C@H]1[C@H]2C
C[C@H]1[C@H]2CC[C@@H]12,C[C@H]1[C@H]2CC[C@@H]1[C@H]1C[C@H]12
C[C@H]1[C@H]2CO[C@@H]12,C[C@@H]1[C@H](C)[C@@H]2CO[C@H]12
C[C@H]1[C@H]2CO[C@@H]12,C[C@H]1[C@H]2CO[C@@H]1[C@H]2C
C[C@H]1[C@H]2CO[C@@H]12,C[C@H]1[C@H]2C[C@H]2[C@H]2CO[C@@H]12
C[C@H]1[C@H]2CO[C@@H]12,C[C@H]1[C@H]2C[C@@H]3[C@H]2CO[C@H]13
C[C@H]1[C@H]2CO[C@@H]12,C[C@H]1[C@H]2CO[C@@H]1[C@H]1C[C@@H]21
O[C@H]1[C@H]2CC[C@@H]12,O[C@@H]1[C@H](O)[C@@H]2CC[C@H]12
O[C@H]1[C@H]2CC[C@@H]12,O[C@H]1[C@@H]2CC[C@H]1[C@H]2O
O[C@H]1[C@H]2CC[C@@H]12,O[C@H]1[C@H]2CC[C@@H]1[C@H]1C[C@H]12
O[C@H]1[C@H]2CO[C@@H]12,O[C@@H]1[C@H](O)[C@@H]2CO[C@H]12
O[C@H]1[C@H]2CO[C@@H]12,O[C@H]1[C@H]2CO[C@@H]1[C@H]2O
O[C@H]1[C@H]2CO[C@@H]12,O[C@H]1[C@H]2C[C@H]2[C@H]2CO[C@@H]12
O[C@H]1[C@H]2CO[C@@H]12,O[C@H]1[C@H]2C[C@@H]3[C@H]2CO[C@H]13
O[C@H]1[C@H]2CO[C@@H]12,O[C@H]1[C@H]2CO[C@@H]1[C@H]1C[C@@H]21
C1=C[C@H]2N[C@H]2C1,C1=C\[C@@H]2N[C@@H]2C/C=C/C/1
C1=C[C@H]2O[C@H]2C1,C1=C\[C@@H]2O[C@@H]2C/C=C/C/1
C1C[C@@H]2C[C@@H]2C1,C1CC[C@H]2C[C@H]2C1
C1C[C@@H]2C[C@@H]2C1,C1CC[C@@H]2C[C@@H]2CC1
C1C[C@@H]2C[C@@H]2C1,C1CCC[C@H]2C[C@H]2CC1
C1OC[C@H]2C[C@@H]12,C1OC[C@@H]2C[C@@H]2CO1
C1OC[C@H]2C[C@@H]12,C1COC[C@H]2C[C@H]2CO1
C1C[C@@H]2O[C@@H]2C1,C1CC[C@H]2O[C@H]2C1
